_id,id,pubDate,title,summary,infoSource
5e789507cf364dfb25a41735,13155,2020/3/23,Primark UK stores closing 'until further notice',The fashion chain says it wants to protect the health of employees and customers.,BBC
5e7894c3cf364dfb25a41734,13152,2020/3/23,NI health service to access private sector beds,The latest move is part of the Department of Health in NI's surge planning for Covid-19.,BBC
5e789481cf364dfb25a41733,13148,2020/3/23,Coronavirus cases continue to rise in Germany,"Germany has reported 86 deaths and a total of 22,672 cases of novel coronavirus on Monday. ",CNN
5e788e05cf364dfb25a41721,13145,2020/3/23,Nigeria confirms first coronavirus death,"In a tweet, NCDC said the victim was a 67-year-old man who returned to the country following a medical procedure in the UK.He had underlying medical conditions and was undergoing chemotherapy.",BBC
5e788aa4cf364dfb25a4171b,13136,2020/3/23, Urgent call to fund housing for homeless in outbreak,"Andy Burnham said the government should immediately release funds to councils to ""house all people who are homeless"".The government has already pledged an initial ?3.2m fund to help authorities provide accommodation to rough sleepers who need to self-isolate.Mr Burnham said rough sleepers needed support ""as a matter of urgency"".",BBC
5e7889ddcf364dfb25a416fe,13133,2020/3/23,Virus surge 'may be quicker than we thought',"First Minister Nicola Sturgeon says Scotland is ""on the cusp of a rapid acceleration of coronavirus cases"".",BBC
5e78899acf364dfb25a416fd,13131,2020/3/23,Are pregnant women more at risk?,"There have been no confirmed coronavirus deaths of pregnant women. Professor David Heymann, an infectious disease epidemiologist who headed the WHO’s global response to SARS, believes more research needs to be done on how the virus could affect those who are pregnant.",BBC
5e788890cf364dfb25a416fc,13127,2020/3/23,West Sussex recycling sites close,"The measure has been taken to ""reinforce the need for social distancing, protecting staff and highway safety.""",BBC
5e78884dcf364dfb25a416ee,13128,2020/3/23,Governor puts Lubumbashi in 48-hour lockdown,"The two Congolese people tested positive after they arrived in Lubumbashi on a Congo Airways flight from the capital Kinshasa on Sunday afternoon, according to the province’s governor Jacques Kyabula in a tweet.",BBC
5e78880bcf364dfb25a416ed,13123,2020/3/23,Scilly asks all boats and visitors to avoid the islands,All recreational boat and yacht owners have been asked not to travel to the Isles of Scilly during the coronavirus outbreak.,BBC
5e78880bcf364dfb25a416ec,13128,2020/3/23,Governor puts Lubumbashi in 48-hour lockdown,"The two Congolese people tested positive after they arrived
in Lubumbashi on a Congo Airways flight from the capital Kinshasa on Sunday
afternoon, according to the province’s governor Jacques Kyabula ",BBC
5e7884a5cf364dfb25a416e9,13116,2020/3/23,Ministers could consider further UK steps during meeting later,"It's understood ministers and officials are considering how much the public’s behaviour has
changed in response to restrictions brought in over recent days.",BBC
5e7883decf364dfb25a416e4,13119,2020/3/23,Sark Shipping suspends passenger sailings,The firm will continue to provide freight runs.A spokeswoman apologised for any inconvenience this may cause and said further information would be posted on the company's website when it becomes available.,BBC
5e78839ccf364dfb25a416e3,13117,2020/3/23,Jersey boat owners reminded not to land elsewhere,"They are still able to go out sailing, but can't land anywhere else than Jersey and only take people they live with on board to avoid spreading the infection.",BBC
5e7882d5cf364dfb25a416e2,13114,2020/3/23,South Korea reports lowest number of new cases,The news fuels hope that Asia's worst coronavirus outbreak outside China may be abating.,BBC
5e7882d5cf364dfb25a416e1,13115,2020/3/23,"There are now more than 34,000 US coronavirus cases and 414 deaths","There are at least?34,354?cases of novel coronavirus in the United States, according to CNN Health's tally of cases that are detected and tested through US public health systems.?",CNN
5e787f34cf364dfb25a416da,13101,2020/3/23,India lockdowns affect more than 750 million people,Millions of people across India have been placed under lockdown until the end of the month as efforts to?halt the spread?of the?novel coronavirus?in the country intensify.?,CNN
5e787ef2cf364dfb25a416d9,13098,2020/3/23,Isle of Man closes borders to non-residents,People who are vital to keeping the island running may be able enter the island.,BBC
5e787eaecf364dfb25a416d8,13099,2020/3/23,Government tells people not to use second homes,"The
government is telling people not to travel to second homes or tourist
accommodation during the coronavirus crisis. It
says non-essential journeys put pressure on local communities and services.The",BBC
5e787e6ccf364dfb25a416d7,13095,2020/3/23,Six ambulances 'deliberately damaged',"Six ambulances were “deliberately damaged” in Kent, South East Coast Ambulance Service (Secamb) has said.The damage happened at the service’s Make Ready Centre in Thanet on Saturday night.",BBC
5e787b93cf364dfb25a416d4,13084,2020/3/23,New Zealand enters near-total lockdown,Prime Minister Jacinda Ardern said she is 'not willing to put the lives of her citizens in danger.',BBC
5e7878bccf364dfb25a416d1,13080,2020/3/23,All jury trials on hold,"In a statement on Monday, the Lord Chief Justice, Lord Burnett, said no new trials will start and that ongoing trials will be paused while arrangements are put in place so they can continue
safely.",BBC
5e7878bccf364dfb25a416d0,13081,2020/3/23,"Jersey closes pubs, bars and nightclubs","Venues serving food may sell alcohol but only to customers eating a meal at a table, the States say.",BBC
5e787877cf364dfb25a416cf,13076,2020/3/23,Coronavirus postpones London Pride parade,Organisers are hopeful a celebration can take place before the end of 2020.,BBC
5e7873bbcf364dfb25a416ce,13067,2020/3/23,Three coronavirus deaths in Devon,The Torbay and South Devon NHS Foundation Trust confirmed on Sunday that a woman in her early 90s with underlying health conditions died on Friday.,BBC
5e787379cf364dfb25a416cd,13067,2020/3/23,Three coronavirus deaths in Devon,"The Torbay and South Devon NHS Foundation Trust confirmed on Sunday that a woman in her early 90s
with underlying health conditions died on Friday.A trust spokesperson
said: “Sadly, we can confirm tha",BBC
5e787379cf364dfb25a416cc,13068,2020/3/23,South Korea reports lowest number of new cases,The news fuels hope that Asia's worst coronavirus outbreak outside China may be abating.,BBC
5e787336cf364dfb25a416cb,13068,2020/3/23,South Korea reports lowest number of new cases,The news fuels hope that Asia's worst coronavirus outbreak outside China may be abating.,BBC
5e787336cf364dfb25a416ca,13070,2020/3/23,Coronavirus: Public transport operators reduce services,"Rail travel throughout the region will be significantly reduced due to a combination of a fall in demand and government-imposed restrictions.LNER, TransPennine, Grand Central, and Northern are all now working to reduced timetables. ",BBC
5e7872b0cf364dfb25a4160c,13062,2020/3/23,Tourism boss in plea to visitors to avoid Somerset,"John Turner, from Visit Somerset, said ""people are dying"" amid the coronavirus outbreak in the UK. ""We are saying to all visitors to postpone your visit"" and help ""take pressure"" off public services, he said. ",BBC
5e7872b0cf364dfb25a4160b,13063,2020/3/23,Commuters to get refund on rail season tickets,The government is refunding the cost of season tickets for workers staying at home over virus fears.,BBC
5e786ecccf364dfb25a41608,13051,2020/3/23,Coronavirus: Ghana's confirmed cases rise to 24,"Ghana reported three new cases of coronavirus  on Sunday, bringing to 24 the total number of confirmed infections in the country.",BBC
5e786ae7cf364dfb25a41605,13044,2020/3/23,Millions in India under coronavirus lockdown as major cities restrict daily life,Millions of people across India have been placed under lockdown until the end of the month as efforts to?halt the spread?of the?novel coronavirus?in the country intensify.?,CNN
5e786aa4cf364dfb25a41604,13044,2020/3/23,Millions in India under coronavirus lockdown as major cities restrict daily life,Millions of people across India have been placed under lockdown until the end of the month as efforts to?halt the spread?of the?novel coronavirus?in the country intensify.?Residents living in 75 distr,CNN
5e786704cf364dfb25a41602,13036,2020/3/23,McDonald's and Nando's to close all UK restaurants,The fast food chains says they want to protect the wellbeing of its staff and customers.,BBC
5e78667ecf364dfb25a415ff,13036,2020/3/23,McDonald's and Nando's to close all UK restaurants,The fast food chains says they want to protect the wellbeing of its staff and customers.,BBC
5e78652fcf364dfb25a415fe,13034,2020/3/23,McDonald's and Nando's to close all restaurants,"Nando's have already shut their outlets, saying the the ""health and safety of our customers and team is our highest priority"".Fast food giant McDonald's will close all of its more than 1,000 outlets across the UK by 19:00 GMT.",BBC
5e785fb4cf364dfb25a415f9,13021,2020/3/23,Tokyo's famous sushi scene has been crippled by the coronavirus outbreak,"Shortly after dawn, Hideki Sugiura moves swiftly through the narrow aisles of Tokyo's?Toyosu Market.",CNN
5e785fb4cf364dfb25a415f8,13023,2020/3/23,Warning of virus threat to mountain gorillas,Conservationists are warning that Africa’s endangered mountain gorillas could be at risk from coronavirus. ,BBC
5e785f72cf364dfb25a415f7,13021,2020/3/23,Tokyo's famous sushi scene has been crippled by the coronavirus outbreak,"Shortly after dawn, Hideki Sugiura moves swiftly through the narrow aisles of Tokyo's?Toyosu Market.It's much quieter than usual, and the sushi chef doesn't need to buy as much fish for his small rest",CNN
5e785d17cf364dfb25a415f6,13018,2020/3/23,Northern Ireland health service to access private sector beds,"Northern Ireland's health service is to access all hospital beds across the private sector.In documents seen by BBC News NI the health board proposes to contract the use of the hospital sites for a period of ""not less than 3 months"".",BBC
5e785cd5cf364dfb25a415f5,13018,2020/3/23,NI health service to access private sector beds,The latest move is part of the Department of Health in NI's surge planning for Covid-19.,BBC
5e7858eecf364dfb25a415e9,13012,2020/3/23,Uganda looks for passengers who skipped screening,"The authorities in Uganda authorities are trying to track down 84
passengers who were on an Ethiopian Airlines flight with a man who tested
positive for coronavirus. ",BBC
5e7855d0cf364dfb25a415e8,13011,2020/3/23,Australia rolls out tough new measures to combat coronavirus spread,"Australian Prime Minister Scott Morrison said Monday that “2020 will be the toughest year of our lives,” as the country rolled out new, tougher measures to slow down the spread of the coronavirus.",CNN
5e78522ccf364dfb25a415e7,13005,2020/3/23,Jack Ma's coronavirus medical supplies land in Africa,"The first batch of medical equipment donated by a Chinese billionaire to help fight coronavirus in Africa arrived in Ethiopia on Sunday. Jack Ma, the co-founder of the online store Alibaba.",BBC
5e7851a5cf364dfb25a415e6,13005,2020/3/23,Jack Ma's coronavirus medical supplies land in Africa,"The first batch of medical equipment donated by a Chinese billionaire to help fight coronavirus in Africa arrived in Ethiopia on Sunday. Jack Ma, the co-founder of the online store Alibaba, is sending",BBC
5e784e02cf364dfb25a415dd,13003,2020/3/23,Japan reports its biggest one-day surge in coronavirus deaths,"Japan reported five deaths due to the novel coronavirus on Sunday, its biggest one-day surge. That takes the national toll to 49 deaths, the health ministry announced on Monday.",CNN
5e7848c7cf364dfb25a415d9,12998,2020/3/23,New Delhi and major Indian cities are going into lockdown until March 31,The Indian capital New Delhi is among 75 districts in the country that will go into lockdown until March 31 in response to the coronavirus pandemic.,CNN
5e784884cf364dfb25a415d8,12998,2020/3/23,New Delhi and major Indian cities are going into lockdown until March 31,"The Indian capital New Delhi is among 75 districts in the country that will go into lockdown until March 31 in response to the coronavirus pandemic.The measures extend an initial 14-hour lockdown, whi",CNN
5e784800cf364dfb25a415d7,12997,2020/3/23,The United Arab Emirates is closing all shopping malls and food markets for two weeks,"The United Arab Emirates is closing all commercial centers and shopping malls along with fish, meat and vegetable markets.The new rule will come into force in 48 hours, and will be in place for two weeks.",CNN
5e78427dcf364dfb25a4148f,12992,2020/3/23,More than 154 million children in Latin America and the Caribbean are out of school due to coronavirus,"More than 154 million children in Latin America and the Caribbean are temporarily out of school due to the coronavirus outbreak, according to the United Nations International Children’s Fund (UNICEF).",CNN
5e783f18cf364dfb25a4148d,12986,2020/3/23,Senate delays procedural vote on massive coronavirus stimulus bill,A key Senate vote related to a massive economic stimulus plan in response to the coronavirus pandemic is being pushed back about three hours as Democrats and Republicans jockey for advantage ,CNN
5e783e4bcf364dfb25a4148c,12986,2020/3/23,Senate delays procedural vote on massive coronavirus stimulus bill,A key Senate vote related to a massive economic stimulus plan in response to the coronavirus pandemic is being pushed back about three hours as Democrats and Republicans jockey for advantage in the ta,CNN
5e783e09cf364dfb25a4148b,12984,2020/3/23,First inmate in California state prison system tests positive for coronavirus,"An inmate in California has tested positive for coronavirus, making them the first Covid-19 patient within the state's prison system. ",CNN
5e783916cf364dfb25a41483,12983,2020/3/23,A private airline company has been allowed to repatriate US citizens stuck in Haiti,"The Haitian government has granted permission to private airline company Eastern Airlines to fly United States citizens out of Haiti, according to a?statement from the US Embassy in Haiti?on Sunday.",CNN
5e7838d3cf364dfb25a41482,12983,2020/3/23,A private airline company has been allowed to repatriate US citizens stuck in Haiti,"The Haitian government has granted permission to private airline company Eastern Airlines to fly United States citizens out of Haiti, according to a?statement from the US Embassy in Haiti?on Sunday.Pa",CNN
5e7833cbcf364dfb25a413fb,12973,2020/3/23,New Zealand becomes latest country to close non-essential services,"New Zealand will issue its highest alert level and close all non-essential businesses across the country amid the coronavirus pandemic, Prime Minister Jacinda Ardern said in a news briefing on Monday.",CNN
5e783389cf364dfb25a413f7,12973,2020/3/23,New Zealand becomes latest country to close non-essential services,"New Zealand will issue its highest alert level and close all non-essential businesses across the country amid the coronavirus pandemic, Prime Minister Jacinda Ardern said in a news briefing on Monday.",CNN
5e7831facf364dfb25a413f6,12972,2020/3/23,MPs to debate emergency coronavirus powers,Emergency legislation that would grant powers aimed at tackling the spread of the coronavirus pandemic will be debated by MPs later.,BBC
5e7831b6cf364dfb25a413f5,12972,2020/3/23,MPs to debate emergency coronavirus powers,"Under the plans, airports could be shut and police could force people with symptoms into isolation.",BBC
5e78306acf364dfb25a413f4,12971,2020/3/23,The coronavirus pandemic is clobbering global stock markets,Asian markets and United States stock futures fell during Asian trading hours as a massive stimulus package to help Americans handle the coronavirus pandemic hit a major stumbling block. ,CNN
5e782d4bcf364dfb25a413f3,12967,2020/3/23,This year's Olympics are in doubt. Only war has ever forced them to be scrapped,The coronavirus pandemic is throwing doubt over whether this year's Summer Olympics in Tokyo will still go ahead.,CNN
5e7826cdcf364dfb25a413ee,12962,2020/3/23,Singapore Airlines cuts 96% of its capacity amid the coronavirus outbreak,"Singapore Airlines will cut 96% of its capacity until the end of April amid the?novel coronavirus outbreak, the airline said in a statement on Monday.",CNN
5e782473cf364dfb25a413ea,12959,2020/3/23,Australia is planning for the possibility that Olympic Games could be postponed,Australia's Olympic Committee is telling its athletes to prepare for for the possibility that the Games could be postponed until 2021.,CNN
5e782431cf364dfb25a413e9,12959,2020/3/23,Australia is planning for the possibility that Olympic Games could be postponed,Australia's Olympic Committee is telling its athletes to prepare for for the possibility that the Games could be postponed until 2021. The statement follows the International Olympic Committee’s annou,CNN
5e78225ccf364dfb25a413da,12955,2020/3/23,The New York Mayor discussed the need for more supplies with Trump and Pence,"New York City's Mayor Bill de Blasio spoke with President Donald Trump and Vice President Mike Pence Sunday night and discussed the “urgent supply need in our public hospitals,” according to a tweet from de Blasio’s press secretary, Freddi Goldstein.",CNN
5e78221acf364dfb25a413d9,12955,2020/3/23,The New York Mayor discussed the need for more supplies with Trump and Pence,"New York City's Mayor Bill de Blasio spoke with President Donald Trump and Vice President Mike Pence Sunday night and discussed the “urgent supply need in our public hospitals,” according?to a tweet?f",CNN
5e781a8ecf364dfb25a412cc,12948,2020/3/23,"For the first time, Japan's Prime Minister says postponing the Olympics is a possibility","Speaking to lawmakers on Monday, Japanese Prime Minister Shinzo Abe said postponing the 2020 Summer Olympics is a possibility.",CNN
5e781a4ccf364dfb25a412cb,12948,2020/3/23,"For the first time, Japan's Prime Minister says postponing the Olympics is a possibility","Speaking to lawmakers on Monday, Japanese Prime Minister Shinzo Abe said postponing the 2020 Summer Olympics is a possibility.This is the first time Abe has changed his staunch public position that th",CNN
5e7817f0cf364dfb25a4124a,12941,2020/3/23,Canada will not send athletes to Tokyo Olympics,"Canada won't be sending teams to the Olympics this year.
The Canadian Olympic Committee (COC) and Canadian Paralympic Committee (CPC) are also calling for the games to be postponed by one year.",CNN
5e7817aecf364dfb25a41249,12941,2020/3/23,Canada will not send athletes to Tokyo Olympics,"Canada won't be sending teams to the Olympics this year. The Canadian Olympic Committee (COC) and Canadian Paralympic Committee (CPC) are also calling for the games to be postponed by one year. ""While",CNN
5e78159ecf364dfb25a41246,12939,2020/3/23,New York warns of major medical shortages in 10 days,"The coronavirus outbreak in New York will get worse, with damage accelerated by shortages of key medical supplies, the city's mayor has said.",BBC
5e78155bcf364dfb25a41245,12939,2020/3/23,"Major medical goods shortage in 10 days, NYC warns",New York's mayor issues a stark warning as the state struggles to slow the spread of coronavirus.,BBC
5e781348cf364dfb25a41244,12935,2020/3/23,DC to use National Guard to help prevent cherry blossom crowds in nation's capital,"Mayor Muriel Bowser announced Sunday that she is ordering the Washington, DC, National Guard to work with police to restrict pedestrian access to areas where crowds have been flocking to view the cherry blossoms, which are in peak bloom, according to a news release from the mayor’s office.",CNN
5e781306cf364dfb25a41243,12935,2020/3/23,DC to use National Guard to help prevent cherry blossom crowds in nation's capital,"Mayor Muriel Bowser announced Sunday that she is ordering the Washington, DC, National Guard to work with police to restrict pedestrian access to areas where crowds have been flocking to view the cher",CNN
5e780f61cf364dfb25a41237,12932,2020/3/23,Italy is requesting US military support for coronavirus battle,"The government of Italy has made a direct appeal to Defense Secretary Mark Esper for US military aid in combating coronavirus, according to a US defense official.",CNN
5e780f1fcf364dfb25a41236,12932,2020/3/23,Italy is requesting US military support for coronavirus battle,"The government of Italy has made a direct appeal to Defense Secretary Mark Esper for US military aid in combating coronavirus, according to a US defense official. Specifically, Italy's defense ministe",CNN
5e780e9acf364dfb25a41231,12929,2020/3/23,Parents urged not to send children to school,"Parents are being told to keep their children at home unless ""absolutely necessary"", as schools across the UK close to most pupils.",BBC
5e780d0dcf364dfb25a41230,12924,2020/3/23,President Trump approves California disaster declaration,"President Donald Trump approved California's request for a disaster declaration Sunday, according to a White House news release.",CNN
5e780ccccf364dfb25a4122f,12924,2020/3/23,President Trump approves California disaster declaration,"President Donald Trump approved California's request for a disaster declaration Sunday, according to a White House news release.The declaration means the state can receive federal assistance to supple",CNN
5e780ccccf364dfb25a4122e,12925,2020/3/23,Ecuador coronavirus deaths increase,"The number of coronavirus deaths in Ecuador doubled between Saturday and Sunday, according the country’s health ministry.The ministry reported 14 coronavirus deaths Sunday, up from seven Saturday.",CNN
5e780ccccf364dfb25a4122d,12926,2020/3/23,Will government rescue package be enough for firms?,The government has announced the biggest intervention in private sector business since the Second World War to help fight the economic impact of coronavirus.,BBC
5e780bc3cf364dfb25a4122a,12920,2020/3/23,"Blood donations needed after 15% drop, says NHS",Officials urge blood donors to stick to their appointments if they are well enough.,BBC
5e780bc3cf364dfb25a41229,12922,2020/3/23,'Genetic detectives' to track coronavirus,Scientists are to track the spread of the coronavirus in the UK by using clues in its genetic code.,BBC
5e7807d6cf364dfb25a41227,12907,2020/3/23,Ford Bridgend's supply firms squeezed as work is paused,Welsh firms are expected to suffer as almost all UK carmakers halt production to cope with the coronavirus crisis.,BBC
5e780794cf364dfb25a41225,12907,2020/3/23,Supply firms squeezed as Ford pauses work,"In Wales there are 120 factories employing about 18,000 people making parts for car companies.",BBC
5e780794cf364dfb25a41224,12910,2020/3/23,Saudi Arabia orders daily curfew,"Saudi Arabia has ordered a daily curfew between 7 p.m. to 6 a.m. local time beginning Monday, according to Saudi state-run SPA news.",CNN
5e780608cf364dfb25a41222,12908,2020/3/23,Plea made to keep children at home during outbreak,"Most children should stay home from school this week, the Welsh Government has reminded parents.",BBC
5e78047dcf364dfb25a4121d,12903,2020/3/23,Plea made to keep children at home during outbreak,"Most children should stay home from school this week, the Welsh Government has reminded parents.",BBC
5e780375cf364dfb25a41214,12899,2020/3/23,Bus and rail services cut due to coronavirus,Public transport is to operate on a reduced scale throughout Wales because of the coronavirus pandemic.,BBC
