,x
1,重庆
5,日前
6,不得
7,开学
8,北京
9,新增
15,澳门
16,新增
19,确诊
20,病例
21,北京
22,新增
28,加拿大
29,确诊
33,感染者
34,此次
35,疫情
38,SARS
39,更重
40,四川
41,出现
42,首例
43,死亡
44,病例
45,四川
46,出现
47,首例
48,死亡
49,病例
50,好消息
51,辽宁
52,首例
53,患者
54,出院
55,新闻
58,连线
59,专家
61,疫情
62,中央
63,应对
64,疫情
65,工作
66,领导
67,小组会议
68,疫情
71,扩散
72,阶段
73,形势
74,复杂
75,严峻
76,湖北
77,企业
78,复工
85,直播
86,湖北
87,疫情
88,防控
89,发布会
90,钟南山
91,参与
92,危重
93,患者
94,远程
95,会诊
96,中央
97,明确
98,允许
99,疫情
100,高发区
101,人员
102,适当
103,延期
104,返程
105,最新
106,西藏
107,启动
108,一级
109,响应
112,防
113,肺炎
115,防
116,感染
117,好消息
119,名新冠
120,肺炎
121,患者
122,康复
123,出院
126,重症
127,监护室
131,患者
132,出院
133,曾光
134,疫情
135,控制
137,正月十五
139,明显
141,成效
142,新加坡
143,新增
146,确诊
147,病例
148,曾光
149,疫情
150,控制
152,正月十五
154,明显
156,成效
157,辽宁
158,新增
164,香港
165,确诊
166,病例
167,增至
170,广东
171,确诊
173,例外
176,境外
177,人士
178,感染
179,工信部
180,回应
181,口罩
182,告急
184,产量
185,达到
188,万只
190,紧张
191,局面
195,缓解
196,澳大利亚
197,确诊
201,病例
202,好消息
203,山西
204,首例
205,患者
206,治愈
207,出院
208,云南
209,新增
215,广东
216,新增
222,好消息
223,武汉
224,金银
225,潭
226,医院
231,患者
232,出院
233,最大
236,进出
237,香港
238,跨境
239,列车
240,暂停
241,运营
242,冯子健
243,回应
244,老年人
245,儿童
246,易感
247,儿童
248,婴幼儿
249,病例
250,症状
251,较轻
252,冯子健
253,回应
254,老年人
255,儿童
256,易感
257,儿童
258,婴幼儿
259,病例
260,症状
261,较轻
262,福建
263,确诊
264,病例
265,增至
268,澳大利亚
269,确诊
270,病例
271,增至
274,直播
275,国家
276,卫健委
277,召开
278,新闻
279,发布会
280,上海
281,新增
284,确诊
287,山东
289,确诊
290,增至
293,山东
295,确诊
296,增至
299,辽宁
300,新增
306,大兴安岭
307,确诊
308,首例
309,输入
311,病例
312,大兴安岭
313,确诊
314,首例
315,输入
317,病例
318,山东
319,首例
320,确诊
321,病例
322,治愈
323,上海
324,新增
325,治愈
326,出院
329,阿联酋
330,发现
331,首例
332,病例
334,正确
335,居家
336,医学观察
337,天津
338,新增
339,确诊
343,确诊
346,安徽
347,出现
352,确诊
353,婴儿
355,家庭
356,聚集
358,病例
359,云南
360,新增
366,天津
367,新增
370,确诊
372,确诊
375,安徽
378,确诊
379,病例
380,治愈
381,出院
382,北京
383,新增
384,确诊
390,贵州
391,首例
392,确诊
393,病例
395,治愈
396,安徽
399,确诊
400,病例
401,治愈
402,出院
403,安徽
404,出现
409,确诊
410,婴儿
412,家庭
413,聚集
415,病例
416,云南
417,新增
423,山东
424,首例
425,确诊
426,患者
427,治愈
428,出院
429,辽宁
430,新增
436,四川
437,首例
438,病例
439,治愈
440,四川
441,首例
442,病例
443,治愈
446,药物
448,病毒
451,好
452,抑制作用
453,陕西
454,新增
455,确诊
461,世卫
462,组织
465,专家
466,团队
467,访华
468,内蒙古
469,新增
470,确诊
476,宁夏
477,新增
478,确诊
484,内蒙古
485,新增
486,确诊
492,内蒙古
493,新增
494,确诊
500,宁夏
501,新增
502,确诊
508,天津
509,新增
517,天津
518,新增
526,白宫
527,暂
528,不停
529,飞中美
530,航班
532,疫情
535,阶段
538,疫情
539,必知点
540,贵州
542,新增
543,病例
548,专家
549,发布
552,疫情
553,必知点
554,青海
556,新增
557,病例
562,疫情
565,阶段
568,疫情
569,必知点
570,福建
571,新增
577,海南
578,新增
584,重庆
585,新增
591,广东
592,新增
598,甘肃
599,新增
605,吉林
606,新增
612,黑龙江
613,新增
619,河北
620,新增
626,山西
627,新增
633,湖南
640,四川
647,浙江
655,江苏
660,病例
661,天津
668,安徽
675,新疆
680,新疆
685,广西
692,西藏
693,首次
694,报告
695,疑似病例
698,河南
703,河南
708,山东
717,上海
725,辽宁
732,日本
734,大巴
735,司机
736,曾载
737,大连
738,旅行团
742,C8722
743,航班
744,入境
745,白宫
746,考虑
747,取消
748,中美间
750,航班
751,返程
752,高峰
755,警惕
756,高速
757,服务区
759,防疫
760,盲区
761,法国
766,病例
767,德国
772,美国
774,入境
775,筛查
776,机场
777,增至
780,钟南山
782,一线
783,医护人员
784,加油
785,湖北
793,山西
801,江西
809,天津
810,卫健委一
811,官员
812,防控
813,失职
815,问责
816,北京
817,重罚
818,口罩
819,涨价
820,拟开
822,万元
823,罚单
