,x
1,甘肃
2,无
3,新增
4,境外
5,输入
6,新冠
7,肺炎
8,确诊
9,病例
11,境外
12,输入
13,确诊
14,病例
17,美国
18,纽约市
19,新冠
20,肺炎
21,确诊
22,人数
25,万
26,叙利亚
27,确诊
28,首例
29,新冠
30,肺炎
31,病例
32,当前
33,全国
34,本土
35,疫情
36,传播
38,基本
39,阻断
40,全球
41,疫情
43,流行
44,下要
45,外防
46,输入
47,内防
48,反弹
49,瑞士
50,新冠
51,肺炎
52,确诊
55,西班牙
56,新冠
57,肺炎
58,增至
61,Primark
62,UK
63,stores
64,closing
65,until
66,further
67,notice
68,NI
69,health
70,service
72,access
73,private
74,sector
75,beds
76,Coronavirus
77,cases
78,continue
80,rise
82,Germany
83,马来西亚
84,新增
87,新冠
88,肺炎
89,确诊
90,病例
92,确诊
95,Nigeria
96,confirms
97,first
98,coronavirus
99,death
100,伊朗
101,新增
103,例新冠
104,肺炎
105,伊朗
107,确诊
108,升至
111,Urgent
112,call
114,fund
115,housing
116,for
117,homeless
119,outbreak
120,香港
121,新增
123,例新冠
124,肺炎
125,一名
126,港口
127,卫生科
128,医生
129,确诊
130,新冠
131,肺炎
132,Virus
133,surge
134,may
136,quicker
137,than
138,we
139,thought
141,pregnant
142,women
143,more
145,risk
146,West
147,Sussex
148,recycling
149,sites
150,close
151,Governor
152,puts
153,Lubumbashi
156,hour
157,lockdown
158,Governor
159,puts
160,Lubumbashi
163,hour
164,lockdown
165,Scilly
166,asks
167,all
168,boats
170,visitors
172,avoid
173,the
174,islands
175,Ministers
176,could
177,consider
178,further
179,UK
180,steps
181,during
182,meeting
183,later
184,Sark
185,Shipping
186,suspends
187,passenger
188,sailings
189,Jersey
190,boat
191,owners
192,reminded
193,not
195,land
196,elsewhere
197,There
199,now
200,more
201,than
204,US
205,coronavirus
206,cases
209,deaths
210,South
211,Korea
212,reports
213,lowest
214,number
216,new
217,cases
218,德国
220,确诊
222,例新冠
223,肺炎
224,全球
225,新冠
226,肺炎
227,确诊
228,病例
232,India
233,lockdowns
234,affect
235,more
236,than
238,million
239,people
240,Isle
242,Man
243,closes
244,borders
246,non
247,residents
248,Government
249,tells
250,people
251,not
253,use
254,second
255,homes
256,Six
257,ambulances
258,deliberately
259,damaged
260,New
261,Zealand
262,enters
263,near
264,total
265,lockdown
266,Jersey
267,closes
268,pubs
269,bars
271,nightclubs
272,All
273,jury
274,trials
276,hold
277,Coronavirus
278,postpones
279,London
280,Pride
281,parade
282,Three
283,coronavirus
284,deaths
286,Devon
287,South
288,Korea
289,reports
290,lowest
291,number
293,new
294,cases
295,Three
296,coronavirus
297,deaths
299,Devon
300,Coronavirus
301,Public
302,transport
303,operators
304,reduce
305,services
306,South
307,Korea
308,reports
309,lowest
310,number
312,new
313,cases
314,Commuters
316,get
317,refund
319,rail
320,season
321,tickets
322,Tourism
323,boss
325,plea
327,visitors
329,avoid
330,Somerset
331,Coronavirus
332,Ghana
334,confirmed
335,cases
336,rise
339,Millions
341,India
342,under
343,coronavirus
344,lockdown
346,major
347,cities
348,restrict
349,daily
350,life
351,Millions
353,India
354,under
355,coronavirus
356,lockdown
358,major
359,cities
360,restrict
361,daily
362,life
363,浙江
364,应急
365,响应
366,级别
367,调整
369,三级
370,McDonald
373,Nando
376,close
377,all
378,UK
379,restaurants
380,McDonald
383,Nando
386,close
387,all
388,UK
389,restaurants
390,McDonald
393,Nando
396,close
397,all
398,restaurants
399,Warning
401,virus
402,threat
404,mountain
405,gorillas
406,Tokyo
408,famous
409,sushi
410,scene
413,crippled
415,the
416,coronavirus
417,outbreak
418,Tokyo
420,famous
421,sushi
422,scene
425,crippled
427,the
428,coronavirus
429,outbreak
430,Northern
431,Ireland
432,health
433,service
435,access
436,private
437,sector
438,beds
439,NI
440,health
441,service
443,access
444,private
445,sector
446,beds
447,台湾
448,新增
451,确诊
452,病例
454,确诊
455,逼近
458,Uganda
459,looks
460,for
461,passengers
462,who
463,skipped
464,screening
465,Australia
466,rolls
468,tough
469,new
470,measures
472,combat
473,coronavirus
474,spread
475,Jack
476,Ma
478,coronavirus
479,medical
480,supplies
481,land
483,Africa
484,Jack
485,Ma
487,coronavirus
488,medical
489,supplies
490,land
492,Africa
493,美国
494,特勤
495,局一人
496,确诊
497,新冠
498,肺炎
499,北京
500,新增
503,境外
504,输入
505,病例
506,Japan
507,reports
509,biggest
510,one
511,day
512,surge
514,coronavirus
515,deaths
516,New
517,Delhi
519,major
520,Indian
521,cities
523,going
525,lockdown
526,until
527,March
529,New
530,Delhi
532,major
533,Indian
534,cities
536,going
538,lockdown
539,until
540,March
542,The
543,United
544,Arab
545,Emirates
547,closing
548,all
549,shopping
550,malls
552,food
553,markets
554,for
555,two
556,weeks
557,哥伦比亚
558,监狱
559,暴动
562,死
565,囚犯
566,不满
567,卫生条件
569,发起
570,抗议
571,More
572,than
574,million
575,children
577,Latin
578,America
580,the
581,Caribbean
585,school
586,due
588,coronavirus
589,新西兰
590,宣布
592,全面
593,停工
594,停课
595,Senate
596,delays
597,procedural
598,vote
600,massive
601,coronavirus
602,stimulus
603,bill
604,Senate
605,delays
606,procedural
607,vote
609,massive
610,coronavirus
611,stimulus
612,bill
613,First
614,inmate
616,California
617,state
618,prison
619,system
620,tests
621,positive
622,for
623,coronavirus
625,private
626,airline
627,company
630,allowed
632,repatriate
633,US
634,citizens
635,stuck
637,Haiti
639,private
640,airline
641,company
644,allowed
646,repatriate
647,US
648,citizens
649,stuck
651,Haiti
652,澳大利亚
653,无法
654,集结
655,参加
656,今夏
657,奥运会
658,天津
659,新增
662,境外
663,输入
664,病例
665,New
666,Zealand
667,becomes
668,latest
669,country
671,close
672,non
673,essential
674,services
675,New
676,Zealand
677,becomes
678,latest
679,country
681,close
682,non
683,essential
