wordResult,Freq
coronavirus,404
health,113
announced,107
people,97
country,88
sunday,74
minister,68
spread,67
york,62
government,60
outbreak,60
pandemic,57
tested,57
president,56
united,48
positive,46
confirmed,45
covid,44
monday,41
prime,41
public,41
disease,39
statement,39
uk,38
gov,37
essential,35
news,34
trump,34
control,31
measures,31
stay,31
deaths,30
wednesday,30
ministry,29
tuesday,29
city,28
cnn,27
cuomo,27
days,27
died,27
emergency,27
friday,27
local,27
medical,27
reported,27
italy,26
mayor,26
conference,25
thursday,25
total,25
death,24
virus,24
andrew,23
centers,23
close,23
press,23
saturday,23
time,23
travel,23
closed,22
prevention,22
restrictions,22
march,21
national,21
workers,21
officials,20
residents,20
agency,18
day,18
department,18
flights,18
lockdown,18
temporarily,18
citizens,17
including,17
france,16
hours,16
morning,16
shut,16
south,16
administration,15
company,15
food,15
postponed,15
prevent,15
services,15
starting,15
agencies,14
california,14
china,14
crisis,14
hospital,14
office,14
release,14
response,14
schools,14
staff,14
support,14
amid,13
borders,13
businesses,13
european,13
house,13
infected,13
international,13
patient,13
spain,13
team,13
told,13
weeks,13
bringing,12
care,12
federal,12
governments,12
governor,12
halt,12
image,12
issued,12
nhs,12
patients,12
protect,12
quarantine,12
secretary,12
test,12
april,11
combat,11
committee,11
continue,11
dr,11
island,11
midnight,11
month,11
night,11
northern,11
private,11
slow,11
suspended,11
televised,11
tokyo,11
week,11
authorities,10
boris,10
canadian,10
closing,10
county,10
defense,10
donald,10
england,10
fight,10
germany,10
india,10
infectious,10
johnson,10
london,10
masks,10
nation,10
nationwide,10
olympics,10
ongoing,10
security,10
spokesperson,10
tweet,10
west,10
africa,9
airline,9
ban,9
border,9
business,9
children,9
countries,9
decision,9
employees,9
entry,9
french,9
kingdom,9
months,9
movement,9
official,9
olympic,9
passenger,9
production,9
social,9
summer,9
tally,9
twitter,9
wales,9
warned,9
americans,8
british,8
curb,8
customers,8
de,8
doctors,8
efforts,8
entering,8
facing,8
florida,8
increase,8
institute,8
ireland,8
italian,8
john,8
korea,8
largest,8
media,8
mike,8
military,8
online,8
operations,8
police,8
recorded,8
report,8
school,8
senate,8
service,8
stores,8
supplies,8
symptoms,8
systems,8
temporary,8
testing,8
top,8
underlying,8
urged,8
washington,8
white,8
america,7
australia,7
beds,7
biggest,7
blasio,7
bn,7
chief,7
demand,7
economic,7
europe,7
event,7
fast,7
fauci,7
force,7
foreign,7
gatherings,7
infection,7
japan,7
lives,7
measure,7
organization,7
package,7
