V1,weight,dictlabel,,,,,
谢谢,300,1,,,,,
正常,290,1,,,,,
知道,266,1,,,,,
可以,182,1,,,,,
舒服,160,1,,,,,
感谢,138,1,,,,,
可能,89,1,,,,,
明显,86,1,,,,,
治疗,83,1,,,,,
主要,79,1,,,,,
肯定,56,1,,,,,
不用,55,1,,,,,
容易,54,1,,,,,
常规,43,1,,,,,
一样,40,1,,,,,
特别,39,1,,,,,
精神,35,1,,,,,
注意,29,1,,,,,
安全,26,1,,,,,
确定,26,1,,,,,
休息,23,1,,,,,
必要,22,1,,,,,
清楚,22,1,,,,,
确实,22,1,,,,,
放心,20,1,,,,,
明白,20,1,,,,,
改善,18,1,,,,,
自然,18,1,,,,,
稳定,16,1,,,,,
要紧,16,1,,,,,
其实,15,1,,,,,
希望,14,1,,,,,
合适,12,1,,,,,
发展,11,1,,,,,
方便,10,1,,,,,
还好,10,1,,,,,
说明,10,1,,,,,
天才,10,1,,,,,
通过,10,1,,,,,
完全,10,1,,,,,
有效,10,1,,,,,
顺畅,9,1,,,,,
推荐,9,1,,,,,
一定,8,1,,,,,
增加,8,1,,,,,
鼓励,7,1,,,,,
很快,7,1,,,,,
坚持,7,1,,,,,
进行,7,1,,,,,
专家,7,1,,,,,
准备,7,1,,,,,
安静,6,1,,,,,
安慰,6,1,,,,,
放松,6,1,,,,,
负责,6,1,,,,,
根本,6,1,,,,,
减轻,6,1,,,,,
健康,6,1,,,,,
解决,6,1,,,,,
考虑,6,1,,,,,
快乐,6,1,,,,,
理解,6,1,,,,,
平衡,6,1,,,,,
平静,6,1,,,,,
喜欢,6,1,,,,,
愿意,6,1,,,,,
自动,6,1,,,,,
保护,5,1,,,,,
达到,5,1,,,,,
锻炼,5,1,,,,,
关键,5,1,,,,,
基础,5,1,,,,,
经验,5,1,,,,,
相信,5,1,,,,,
小心,5,1,,,,,
专门,5,1,,,,,
帮助,4,1,,,,,
符合,4,1,,,,,
感动,4,1,,,,,
管用,4,1,,,,,
哈哈,4,1,,,,,
接受,4,1,,,,,
解除,4,1,,,,,
决定,4,1,,,,,
流行,4,1,,,,,
能力,4,1,,,,,
努力,4,1,,,,,
热乎,4,1,,,,,
实在,4,1,,,,,
温暖,4,1,,,,,
下饭,4,1,,,,,
详细,4,1,,,,,
有用,4,1,,,,,
愉快,4,1,,,,,
真实,4,1,,,,,
真正,4,1,,,,,
自行,4,1,,,,,
最佳,4,1,,,,,
标准,3,1,,,,,
大好,3,1,,,,,
红色,3,1,,,,,
良性,3,1,,,,,
密切,3,1,,,,,
热门,3,1,,,,,
热心,3,1,,,,,
适合,3,1,,,,,
正好,3,1,,,,,
中心,3,1,,,,,
爱心,2,1,,,,,
安心,2,1,,,,,
宝贵,2,1,,,,,
变好,2,1,,,,,
便利,2,1,,,,,
成功,2,1,,,,,
单纯,2,1,,,,,
弹性,2,1,,,,,
感激,2,1,,,,,
固定,2,1,,,,,
关心,2,1,,,,,
了解,2,1,,,,,
理性,2,1,,,,,
明明,2,1,,,,,
奇妙,2,1,,,,,
清晰,2,1,,,,,
清醒,2,1,,,,,
认真,2,1,,,,,
善意,2,1,,,,,
上好,2,1,,,,,
升起,2,1,,,,,
时机,2,1,,,,,
太好,2,1,,,,,
提高,2,1,,,,,
通畅,2,1,,,,,
通知,2,1,,,,,
突出,2,1,,,,,
完整,2,1,,,,,
伟大,2,1,,,,,
牺牲,2,1,,,,,
消除,2,1,,,,,
新鲜,2,1,,,,,
信心,2,1,,,,,
一级,2,1,,,,,
用心,2,1,,,,,
正面,2,1,,,,,
正确,2,1,,,,,
重要,2,1,,,,,
