"","x"
"1","Hello, I understand your concern. I just have a few more questions.Does your cough has phlegm? Any other symptoms like difficulty breathing? Any other medical condition such as asthma, hypertension? Are you a smoker? Alcoholic beverage drinker?"
"2","Hi, I would recommend you take n-acetylcysteine 200 mg powder dissolved in water three times a day. You may also nebulize using PNSS (saline nebulizer) three times a day. This will help the phlegm to come out. I would also recommend you take vitamin C 500 mg and zinc to boost your immune system. If symptoms persist, worsen or new onset of symptoms has been noted, further consult is advised."
"3","Hello, I can understand your concern.In my opinion, you should get done a chest x-ray and CBC (complete blood count). If both these are normal then no need to worry much. I hope this helps."
"4","Hi, yes, upload in this query only. I will see and revert to you."
"5","Hi, I can understand your concern. I have gone through the report you have attached. (attachment removed to protect patient identity).Your total count is on the higher side of normal along with low hemoglobin. So start Azithromycin 500 mg 1-0-0, Tablet Dolo 650 1-0-1. Once your fever and cough subside, start an Iron tablet for low hemoglobin.I hope this helps."
"6","Hi, Yes, you can take iron tablet from today onwards. And no need for Azithromycin now as you have already taken it. Drink plenty of fluids orally and keep yourself hydrated. Do warm water gargles and steam inhalation four to five times a day."
"7","Hello. Anxiety can manifest itself in physical or psychological symptoms or both. The irritation sensation you are experiencing is a part of your anxiety. Also please do not believe the hype about covid. It has a low mortality rate, of 2-3 percent, that too mortality is very high in people above 60-70 years with other co-morbidities. You do not have any such disorders and you have not even been in contact with anyone, so do not worry.Please continue to take your medicines for anxiety if you are taking them, if not, please consider visiting a psychiatrist and get started on some low dose SSRI type of medicines. Also, if needed a low dose Benzodiazepines can be added temporarily. Also, please do some deep breathing exercises, or progressive muscle relaxation. You can also take some honey with water to reduce the itching in the throat and also try doing some gargles with lukewarm salt water."
"8","Hello,please answer the following:Any travel history in the last one month? Any use of airports? Any fever, have you checked the temperature? Any cough? Any mucus or phlegm? How is your sleep? Is there any malaise or body aches or weakness?"
"9","Hi, most probably with the history it does not appear like a severe problem or Coronavirus infection. Is sore throat severe and does the pain last the whole day? Do you smoke or drink?"
"10","Hi, you have got it right. Follow all the precautions. You will be alright soon. Try getting a good sleep tonight.I heard about the cases in SF. My brother was supposed to fly there from India for work but his meeting got canceled in the wake of the virus.Yes, your camera has not done a decent job this time around. It has not focussed on our area of interest. (attachment removed to protect patient identity). But yours has picked up the two big bumps in the back of the throat (enlarged tonsils).The tonsils could be enlarged due to the current infection and sore throat problem you are having. Once the problem is resolved they should get back to their normal size, which I guess, in you, must be slightly big. The pharyngeal wall between the tonsils could be having some granular bumps which are quite common during an infection."
"11","Hello, always Protonix is better than Zantac. Try using Protonix (Pantoprazole). Do not lie down immediately after consuming meals. Do not drink a lot of water after a meal. Avoid spicy and oily foods."
"12","Hi, you need to take Pantoprazole or any other proton pump inhibitor. Avoid heavy meals. The issue appears like a heartburn problem due to acidity only. It does not appear sinister."
"13","Hi, do not worry about it. Drink plenty of water but not immediately after a meal. Eat well cooked meats."
"14","Hi, do not worry so much. You will be absolutely alright. Give it some time. If you are not getting better we can do laryngoscopy and check if there is anything wrong with the larynx. Do you eat healthy food and do exercises?"
"15","I guess you are in the right track. With regards to food diet and exercise.Restart doing your exercise. Keep yourself active. Try having more than three meals a day but keep the quantity of each meal less than the usual. That way you eat more frequently but without putting weight or adding unnecessary calories."
